epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1592.45,0.25985,1.7531,0,0.42419,0.87433,0.92525,0.88811,0.93346,0.91394,0.87391,0.8461,0.8592,0.6921,0.20778,1.65398,0,0.33917,0.70214,0.0006337,0.0006337,0.0006337
39,1632.89,0.25496,1.70205,0,0.4252,0.87079,0.91895,0.91091,0.94307,0.92248,0.8835,0.85435,0.83977,0.68957,0.20306,1.63847,0,0.31508,0.70365,0.0006238,0.0006238,0.0006238
40,1673.44,0.25357,1.67505,0,0.4105,0.86886,0.91993,0.90912,0.9487,0.92573,0.87901,0.85939,0.85957,0.70011,0.20152,1.64494,0,0.30832,0.70448,0.0006139,0.0006139,0.0006139
41,1716.56,0.25313,1.70206,0,0.41412,0.86978,0.92852,0.89205,0.94356,0.91949,0.89476,0.85922,0.86341,0.71012,0.20469,1.63145,0,0.31483,0.70724,0.000604,0.000604,0.000604
42,1759.76,0.26046,1.706,0,0.42428,0.87311,0.91373,0.90735,0.94679,0.92454,0.87588,0.85131,0.85945,0.69519,0.19984,1.62752,0,0.3222,0.70055,0.0005941,0.0005941,0.0005941
43,1800.58,0.25305,1.69573,0,0.41414,0.86945,0.91806,0.91098,0.94353,0.92286,0.88373,0.8564,0.85745,0.70071,0.20341,1.62566,0,0.30044,0.70566,0.0005842,0.0005842,0.0005842
44,1841.15,0.24975,1.7324,0,0.39389,0.86984,0.93023,0.89147,0.93903,0.9217,0.88111,0.85868,0.85821,0.69983,0.19753,1.63525,0,0.30782,0.7016,0.0005743,0.0005743,0.0005743
45,1882,0.24661,1.6776,0,0.40054,0.86714,0.93018,0.89664,0.94054,0.921,0.89567,0.85793,0.86138,0.70192,0.20666,1.63927,0,0.30988,0.70569,0.0005644,0.0005644,0.0005644
46,1923.08,0.24441,1.67126,0,0.39312,0.86455,0.91804,0.90629,0.93845,0.92114,0.88757,0.8631,0.85366,0.69825,0.20989,1.64829,0,0.3115,0.71439,0.0005545,0.0005545,0.0005545
47,1963.52,0.24573,1.69097,0,0.41034,0.86739,0.91723,0.90469,0.93585,0.91983,0.87725,0.85788,0.8566,0.70176,0.19412,1.61476,0,0.31521,0.69743,0.0005446,0.0005446,0.0005446
48,2004,0.2423,1.59892,0,0.39982,0.86596,0.92708,0.90794,0.94553,0.92497,0.88116,0.85968,0.84912,0.69203,0.18892,1.61978,0,0.29591,0.69867,0.0005347,0.0005347,0.0005347
49,2044.69,0.23905,1.69973,0,0.38793,0.86478,0.92339,0.90336,0.941,0.91886,0.891,0.86523,0.87181,0.71098,0.19349,1.60849,0,0.30851,0.69892,0.0005248,0.0005248,0.0005248
50,2088.18,0.23878,1.68586,0,0.39381,0.86381,0.91842,0.91101,0.94694,0.92657,0.89402,0.86808,0.87362,0.72092,0.18723,1.61167,0,0.29421,0.6954,0.0005149,0.0005149,0.0005149
51,2130.92,0.23209,1.6395,0,0.38924,0.86422,0.92768,0.90397,0.94455,0.92096,0.88135,0.86146,0.84974,0.69639,0.18883,1.59877,0,0.29592,0.69651,0.000505,0.000505,0.000505
52,2171.61,0.24069,1.68508,0,0.39939,0.86713,0.91004,0.91672,0.94519,0.92576,0.87315,0.85565,0.86475,0.71255,0.19266,1.60734,0,0.29147,0.69634,0.0004951,0.0004951,0.0004951
53,2211.96,0.23371,1.6734,0,0.38322,0.86431,0.92861,0.90801,0.94564,0.92835,0.88212,0.86334,0.86516,0.71014,0.18329,1.60769,0,0.28943,0.69246,0.0004852,0.0004852,0.0004852
54,2253.22,0.23819,1.68688,0,0.38414,0.86522,0.92304,0.9106,0.94801,0.9253,0.88488,0.85975,0.86021,0.70625,0.18314,1.60239,0,0.28474,0.69526,0.0004753,0.0004753,0.0004753
55,2293.91,0.23388,1.65305,0,0.37577,0.86349,0.90881,0.92433,0.9453,0.92755,0.88859,0.86039,0.86422,0.70931,0.18372,1.60284,0,0.28073,0.69491,0.0004654,0.0004654,0.0004654
56,2334.67,0.22915,1.63602,0,0.37638,0.86042,0.92058,0.90892,0.94722,0.92616,0.89216,0.86534,0.86738,0.71248,0.18564,1.59347,0,0.2862,0.69354,0.0004555,0.0004555,0.0004555
57,2375.48,0.22714,1.57736,0,0.37452,0.86068,0.92617,0.90826,0.94686,0.92888,0.88264,0.86332,0.86245,0.71117,0.18914,1.60245,0,0.28021,0.69953,0.0004456,0.0004456,0.0004456
58,2416.66,0.22567,1.61799,0,0.36495,0.86022,0.93221,0.90528,0.94932,0.93113,0.88815,0.8677,0.85994,0.70965,0.17713,1.58184,0,0.26774,0.68783,0.0004357,0.0004357,0.0004357
59,2457.71,0.22033,1.63438,0,0.3572,0.86127,0.93208,0.89312,0.94231,0.92383,0.89343,0.86073,0.8644,0.70733,0.18913,1.59999,0,0.29639,0.69953,0.0004258,0.0004258,0.0004258
60,2498.79,0.22679,1.585,0,0.3661,0.86122,0.90826,0.92041,0.94452,0.92537,0.89073,0.86465,0.86767,0.72332,0.18394,1.59759,0,0.29715,0.69613,0.0004159,0.0004159,0.0004159
61,2542.41,0.2256,1.62269,0,0.37596,0.86252,0.93399,0.89999,0.94755,0.9307,0.8946,0.86178,0.86851,0.72611,0.17858,1.58937,0,0.27977,0.69558,0.000406,0.000406,0.000406
62,2585.41,0.22131,1.60101,0,0.36096,0.85638,0.91504,0.91973,0.94886,0.93106,0.88706,0.86294,0.86415,0.70863,0.17969,1.58956,0,0.28358,0.68861,0.0003961,0.0003961,0.0003961
63,2626.2,0.22024,1.57239,0,0.35791,0.86163,0.92341,0.91645,0.94699,0.9281,0.88147,0.85997,0.86092,0.712,0.17156,1.58332,0,0.27364,0.68393,0.0003862,0.0003862,0.0003862
64,2666.84,0.21541,1.61274,0,0.3511,0.85848,0.92162,0.91066,0.94656,0.93135,0.88099,0.8584,0.86048,0.70968,0.17625,1.58819,0,0.2782,0.69275,0.0003763,0.0003763,0.0003763
65,2707.72,0.21844,1.56345,0,0.35569,0.85981,0.92229,0.9127,0.94936,0.93181,0.89227,0.86128,0.86924,0.7232,0.17372,1.58085,0,0.27303,0.68845,0.0003664,0.0003664,0.0003664
66,2748.14,0.2161,1.60515,0,0.35086,0.85773,0.93018,0.90725,0.94865,0.93208,0.89488,0.86148,0.87014,0.72075,0.16961,1.57558,0,0.26663,0.69031,0.0003565,0.0003565,0.0003565
67,2788.56,0.21152,1.56468,0,0.34737,0.85989,0.93184,0.90647,0.94145,0.92524,0.89089,0.86814,0.86947,0.71365,0.17981,1.58535,0,0.28395,0.6977,0.0003466,0.0003466,0.0003466
68,2829.24,0.21491,1.58379,0,0.35167,0.85809,0.93035,0.90052,0.9433,0.92741,0.88825,0.86308,0.86675,0.71786,0.17886,1.60152,0,0.27992,0.69667,0.0003367,0.0003367,0.0003367
69,2869.93,0.2114,1.59741,0,0.34199,0.85988,0.93723,0.89746,0.94517,0.92892,0.89211,0.8637,0.86505,0.71796,0.167,1.58018,0,0.26784,0.68996,0.0003268,0.0003268,0.0003268
70,2910.48,0.21121,1.61728,0,0.33634,0.85453,0.94121,0.90611,0.9552,0.93681,0.89606,0.86604,0.87554,0.72648,0.17009,1.57399,0,0.259,0.68574,0.0003169,0.0003169,0.0003169
71,2953.16,0.20654,1.51342,0,0.33096,0.85503,0.92536,0.915,0.94811,0.93203,0.89357,0.86462,0.86944,0.72183,0.18165,1.60467,0,0.27591,0.69463,0.000307,0.000307,0.000307
72,2993.6,0.20281,1.56793,0,0.33076,0.85275,0.93103,0.90877,0.94698,0.92902,0.89129,0.86562,0.86817,0.7176,0.16516,1.56934,0,0.27229,0.68655,0.0002971,0.0002971,0.0002971
73,3034.42,0.20084,1.5405,0,0.32872,0.85425,0.93636,0.91307,0.94917,0.93417,0.89474,0.86552,0.88007,0.73323,0.1622,1.5644,0,0.25585,0.68455,0.0002872,0.0002872,0.0002872
